,ts_code,symbol,name,area,industry,fullname,enname,market,exchange,curr_type,list_status,list_date,delist_date,is_hs
1173,002715.SZ,002715,登云股份,广东,汽车配件,怀集登云汽配股份有限公司,"Huaiji Dengyun Auto-Parts (Holding) Co.,Ltd.",中小板,SZSE,CNY,L,20140219,,N
1174,002716.SZ,002716,金贵银业,湖南,小金属,郴州市金贵银业股份有限公司,"Chenzhou City Jingui Silver Industry Co., Ltd",中小板,SZSE,CNY,L,20140128,,S
1175,002717.SZ,002717,岭南股份,广东,环境保护,岭南生态文旅股份有限公司,"Lingnan Eco&Culture-Tourism Co., Ltd.",中小板,SZSE,CNY,L,20140219,,S
1176,002718.SZ,002718,友邦吊顶,浙江,家居用品,浙江友邦集成吊顶股份有限公司,"Zhejiang Youpon Integrated Ceiling Co., Ltd.",中小板,SZSE,CNY,L,20140128,,N
1177,002719.SZ,002719,麦趣尔,新疆,乳制品,麦趣尔集团股份有限公司,"Maiquer Group Co.,Ltd",中小板,SZSE,CNY,L,20140128,,N
1178,002721.SZ,002721,金一文化,北京,服饰,北京金一文化发展股份有限公司,"Beijing Kingee Culture Development Co.,Ltd",中小板,SZSE,CNY,L,20140127,,S
1179,002722.SZ,002722,金轮股份,江苏,纺织机械,金轮蓝海股份有限公司,"Geron Co., Ltd.",中小板,SZSE,CNY,L,20140128,,N
1180,002723.SZ,002723,金莱特,广东,家用电器,广东金莱特电器股份有限公司,"Kennede Electronics MFG. Co., Ltd.",中小板,SZSE,CNY,L,20140129,,N
1181,002724.SZ,002724,海洋王,深圳,半导体,海洋王照明科技股份有限公司,"Ocean'S King Lighting Science & Technology Co., Ltd.",中小板,SZSE,CNY,L,20141104,,N
1182,002725.SZ,002725,跃岭股份,浙江,汽车配件,浙江跃岭股份有限公司,"Zhejiang Yueling Co.,Ltd",中小板,SZSE,CNY,L,20140129,,N
1183,002726.SZ,002726,龙大肉食,山东,食品,山东龙大肉食品股份有限公司,"Shandong Longda Meat Foodstuff Co.,Ltd.",中小板,SZSE,CNY,L,20140626,,N
1184,002727.SZ,002727,一心堂,云南,医药商业,云南鸿翔一心堂药业(集团)股份有限公司,"Yunnan Hongxiang Yixintang Pharmaceutical Co., Ltd.",中小板,SZSE,CNY,L,20140702,,S
1185,002728.SZ,002728,特一药业,广东,中成药,特一药业集团股份有限公司,"TEYI PHARMACEUTICAL GROUP CO.,LTD",中小板,SZSE,CNY,L,20140731,,N
